epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                     50,                0.53599,                0.25542,                0.79199,                0.93318,                0.90504,                0.94162,                0.65821,                0.71143,                 0.3433,                0.63751,             3.3108e-05,             3.3108e-05,             3.3108e-05
                      1,                  1.574,                 1.5406,                 1.0144,                0.91877,                0.83201,                 0.8816,                0.53025,                0.84307,                 4.3446,                0.64743,             0.00036943,             0.00036943,             0.00036943
                      2,                 1.4588,                0.76096,                0.96365,                 0.9201,                0.83251,                0.89548,                0.55777,                0.82658,                0.62447,                0.64265,             0.00072511,             0.00072511,             0.00072511
                      3,                 1.4218,                  0.721,                0.95208,                0.89247,                0.87176,                0.90709,                 0.5707,                0.81832,                 1.3642,                0.63898,              0.0010661,              0.0010661,              0.0010661
                      4,                 1.3939,                0.69786,                0.94783,                0.93254,                0.86925,                0.91124,                0.57715,                 0.8083,                 1.1428,                0.64059,               0.001045,               0.001045,               0.001045
                      5,                 1.3451,                0.65766,                0.93597,                0.94526,                0.85913,                0.91948,                0.57572,                0.82576,                 1.0731,                0.64394,               0.001023,               0.001023,               0.001023
                      6,                 1.3158,                0.63053,                0.92239,                  0.922,                0.86465,                0.91204,                0.59929,                0.77003,                 1.0311,                0.63606,               0.001001,               0.001001,               0.001001
                      7,                 1.2664,                0.60867,                0.91445,                0.92794,                0.89297,                 0.9282,                0.60487,                0.77478,                0.45064,                0.63049,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.2431,                0.59226,                0.90885,                0.92366,                0.89761,                0.92082,                0.61293,                0.76937,                0.52934,                0.62931,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.2101,                0.56741,                0.89979,                0.91727,                0.90834,                0.93568,                0.61862,                0.74761,                0.46739,                0.62758,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1825,                0.55224,                0.89206,                0.91245,                0.90139,                 0.9172,                0.58529,                0.78417,                 1.0521,                 0.6314,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.1779,                0.54588,                0.89172,                0.91459,                0.90987,                0.93058,                 0.6162,                0.75631,                0.57318,                0.62823,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.1234,                0.52011,                0.88206,                0.92294,                0.91285,                0.93845,                0.61685,                0.76804,                0.41897,                0.63209,             0.00086902,             0.00086902,             0.00086902
                     13,                   1.12,                0.52344,                 0.8819,                0.94113,                0.90331,                0.93547,                0.61757,                0.76082,                  1.047,                0.63087,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.0892,                0.51015,                0.87532,                0.93257,                0.90621,                0.94199,                0.62711,                0.74208,                 0.4061,                0.62972,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.0814,                0.50358,                 0.8722,                0.93891,                0.89037,                 0.9383,                0.63141,                0.73917,                0.42092,                0.62877,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.0639,                0.49184,                0.86948,                0.93855,                0.90891,                0.93682,                0.62844,                0.74341,                0.42684,                0.62868,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.0404,                0.48183,                0.86285,                0.92415,                0.90288,                0.93694,                0.63067,                0.74185,                0.48123,                0.62746,             0.00075904,             0.00075904,             0.00075904
